Epoch	TrainError	ETrainCCR	TestCCR
250 0.346574 100 100
251 0.346574 100 100
252 0.346574 100 100
253 0.346574 100 100
254 0.346574 100 100
255 0.346574 100 100
256 0.346574 100 100
257 0.346574 100 100
258 0.346574 100 100
259 0.346574 100 100
260 0.346574 100 100
261 0.346574 100 100
262 0.346574 100 100
263 0.346574 100 100
264 0.346574 100 100
265 0.346574 100 100
266 0.346574 100 100
267 0.346574 100 100
268 0.346574 100 100
269 0.346574 100 100
270 0.346574 100 100
271 0.346574 100 100
272 0.346574 100 100
273 0.346574 100 100
274 0.346574 100 100
275 0.346574 100 100
276 0.346574 100 100
277 0.346574 100 100
278 0.346574 100 100
279 0.346574 100 100
280 0.346574 100 100
281 0.346574 100 100
282 0.346574 100 100
283 0.346574 100 100
284 0.346574 100 100
285 0.346574 100 100
286 0.346574 100 100
287 0.346574 100 100
288 0.346574 100 100
289 0.346574 100 100
290 0.346574 100 100
291 0.346574 25 25
292 0.346574 25 25
293 0.346574 25 25
294 0.346574 25 25
295 0.346574 25 25
296 0.346574 25 25
297 0.346574 25 25
298 0.346574 25 25
299 0.346574 25 25
300 0.346574 25 25
301 0.346574 25 25
302 0.346574 25 25
303 0.346574 25 25
304 0.346574 25 25
305 0.346574 25 25
306 0.346574 25 25
307 0.346574 25 25
308 0.346574 25 25
309 0.346574 25 25
310 0.346574 25 25
311 0.346574 25 25
312 0.346574 25 25
313 0.346574 25 25
314 0.346574 25 25
315 0.346574 25 25
316 0.346574 25 25
317 0.346574 25 25
318 0.346574 25 25
319 0.346574 25 25
320 0.346574 25 25
321 0.346574 25 25
322 0.346574 25 25
323 0.346574 25 25
324 0.346574 25 25
325 0.346574 25 25
326 0.346574 25 25
327 0.346574 25 25
328 0.346574 25 25
329 0.346574 25 25
330 0.346574 25 25
331 0.346574 25 25
332 0.346574 25 25
333 0.346574 25 25
334 0.346574 25 25
335 0.346574 25 25
336 0.346574 25 25
337 0.346574 25 25
338 0.346574 25 25
339 0.346574 25 25
340 0.346574 25 25
341 0.346574 25 25
342 0.346574 25 25
343 0.346574 25 25
344 0.346574 25 25
345 0.346574 25 25
346 0.346574 25 25
347 0.346574 25 25
348 0.346574 25 25
349 0.346574 25 25
350 0.346574 25 25
351 0.346574 25 25
352 0.346574 25 25
353 0.346574 25 25
354 0.346574 25 25
355 0.346574 25 25
356 0.346574 25 25
357 0.346574 25 25
358 0.346574 25 25
359 0.346574 25 25
360 0.346574 25 25
361 0.346574 25 25
362 0.346574 25 25
363 0.346574 25 25
364 0.346574 25 25
365 0.346574 25 25
366 0.346574 25 25
367 0.346574 25 25
368 0.346574 25 25
369 0.346574 25 25
370 0.346574 25 25
371 0.346574 25 25
372 0.346574 25 25
373 0.346574 25 25
374 0.346574 25 25
375 0.346574 25 25
376 0.346574 25 25
377 0.346574 25 25
378 0.346574 25 25
379 0.346574 25 25
380 0.346574 25 25
381 0.346574 25 25
382 0.346574 25 25
383 0.346574 25 25
384 0.346574 25 25
385 0.346574 25 25
386 0.346574 25 25
387 0.346574 25 25
388 0.346574 25 25
389 0.346574 25 25
390 0.346574 25 25
391 0.346574 25 25
392 0.346574 25 25
393 0.346574 25 25
394 0.346574 25 25
395 0.346574 25 25
396 0.346574 25 25
397 0.346574 25 25
398 0.346574 25 25
399 0.346574 25 25
400 0.346574 25 25
401 0.346574 25 25
402 0.346574 25 25
403 0.346574 25 25
404 0.346574 25 25
405 0.346574 25 25
406 0.346574 25 25
407 0.346574 25 25
408 0.346574 25 25
409 0.346574 25 25
410 0.346574 25 25
411 0.346574 25 25
412 0.346574 25 25
413 0.346574 25 25
414 0.346574 25 25
415 0.346574 25 25
416 0.346574 25 25
417 0.346574 25 25
418 0.346574 25 25
419 0.346574 25 25
420 0.346574 25 25
421 0.346574 25 25
422 0.346574 25 25
423 0.346574 25 25
424 0.346574 25 25
425 0.346574 25 25
426 0.346574 25 25
427 0.346574 25 25
428 0.346574 25 25
429 0.346574 25 25
430 0.346574 25 25
431 0.346574 25 25
432 0.346574 25 25
433 0.346574 25 25
434 0.346574 25 25
435 0.346574 25 25
436 0.346574 25 25
437 0.346574 25 25
438 0.346574 25 25
439 0.346574 25 25
440 0.346574 25 25
441 0.346574 25 25
442 0.346574 25 25
443 0.346574 25 25
444 0.346574 25 25
445 0.346574 25 25
446 0.346574 25 25
447 0.346574 25 25
448 0.346574 25 25
449 0.346574 25 25
450 0.346574 25 25
451 0.346574 25 25
452 0.346574 25 25
453 0.346574 25 25
454 0.346574 25 25
455 0.346574 25 25
456 0.346574 25 25
457 0.346574 25 25
458 0.346574 25 25
459 0.346574 25 25
460 0.346574 25 25
461 0.346574 25 25
462 0.346574 25 25
463 0.346574 25 25
464 0.346574 25 25
465 0.346574 25 25
466 0.346574 25 25
467 0.346574 25 25
468 0.346574 25 25
469 0.346574 25 25
470 0.346574 25 25
471 0.346574 25 25
472 0.346574 25 25
473 0.346574 25 25
474 0.346574 25 25
475 0.346574 25 25
476 0.346574 25 25
477 0.346574 25 25
478 0.346574 25 25
479 0.346574 25 25
480 0.346574 25 25
481 0.346574 25 25
482 0.346574 25 25
483 0.346574 25 25
484 0.346574 25 25
485 0.346574 25 25
486 0.346574 25 25
487 0.346574 25 25
488 0.346574 25 25
489 0.346574 25 25
490 0.346574 25 25
491 0.346574 25 25
492 0.346574 25 25
493 0.346574 25 25
494 0.346574 25 25
495 0.346574 25 25
496 0.346574 25 25
497 0.346574 25 25
498 0.346574 25 25
499 0.346574 25 25
500 0.346574 25 25
501 0.346574 25 25
502 0.346574 25 25
503 0.346574 25 25
504 0.346574 25 25
505 0.346574 25 25
506 0.346574 25 25
507 0.346574 25 25
508 0.346574 25 25
509 0.346574 25 25
510 0.346574 25 25
511 0.346574 25 25
512 0.346574 25 25
513 0.346574 25 25
514 0.346574 25 25
515 0.346574 25 25
516 0.346574 25 25
517 0.346574 25 25
518 0.346574 25 25
519 0.346574 25 25
520 0.346574 25 25
521 0.346574 25 25
522 0.346574 25 25
523 0.346574 25 25
524 0.346574 25 25
525 0.346574 25 25
526 0.346574 25 25
527 0.346574 25 25
528 0.346574 25 25
529 0.346574 25 25
530 0.346574 25 25
531 0.346574 25 25
532 0.346574 25 25
533 0.346574 25 25
534 0.346574 25 25
535 0.346574 25 25
536 0.346574 25 25
537 0.346574 25 25
538 0.346574 25 25
539 0.346574 25 25
540 0.346574 25 25
541 0.346574 25 25
542 0.346574 25 25
543 0.346574 25 25
544 0.346574 25 25
545 0.346574 25 25
546 0.346574 25 25
547 0.346574 25 25
548 0.346574 25 25
549 0.346574 25 25
550 0.346574 25 25
551 0.346574 25 25
552 0.346574 25 25
553 0.346574 25 25
554 0.346574 25 25
555 0.346574 25 25
556 0.346574 25 25
557 0.346574 25 25
558 0.346574 25 25
559 0.346574 25 25
560 0.346574 25 25
561 0.346574 25 25
562 0.346574 25 25
563 0.346574 25 25
564 0.346574 25 25
565 0.346574 25 25
566 0.346574 25 25
567 0.346574 25 25
568 0.346574 25 25
569 0.346574 25 25
570 0.346574 25 25
571 0.346574 25 25
572 0.346574 25 25
573 0.346574 25 25
574 0.346574 25 25
575 0.346574 25 25
576 0.346574 25 25
577 0.346574 25 25
578 0.346574 25 25
579 0.346574 25 25
580 0.346574 25 25
581 0.346574 25 25
582 0.346574 25 25
583 0.346574 25 25
584 0.346574 25 25
585 0.346574 25 25
586 0.346574 25 25
587 0.346574 25 25
588 0.346574 25 25
589 0.346574 25 25
590 0.346574 25 25
591 0.346574 25 25
592 0.346574 25 25
593 0.346574 25 25
594 0.346574 25 25
595 0.346574 25 25
596 0.346574 25 25
597 0.346574 25 25
598 0.346574 25 25
599 0.346574 25 25
600 0.346574 25 25
601 0.346574 25 25
602 0.346574 25 25
603 0.346574 25 25
604 0.346574 25 25
605 0.346574 25 25
606 0.346574 25 25
607 0.346574 25 25
608 0.346574 25 25
609 0.346574 25 25
610 0.346574 25 25
611 0.346574 25 25
612 0.346574 25 25
613 0.346574 25 25
614 0.346574 25 25
615 0.346574 25 25
616 0.346574 25 25
617 0.346574 25 25
618 0.346574 25 25
619 0.346574 25 25
620 0.346574 25 25
621 0.346574 25 25
622 0.346574 25 25
623 0.346574 25 25
624 0.346574 25 25
625 0.346574 25 25
626 0.346574 25 25
627 0.346574 25 25
628 0.346574 25 25
629 0.346574 25 25
630 0.346574 25 25
631 0.346574 25 25
632 0.346574 25 25
633 0.346574 25 25
634 0.346574 25 25
635 0.346574 25 25
636 0.346574 25 25
637 0.346574 25 25
638 0.346574 25 25
639 0.346574 25 25
640 0.346574 25 25
641 0.346574 25 25
642 0.346574 25 25
643 0.346574 25 25
644 0.346574 25 25
645 0.346574 25 25
646 0.346574 25 25
647 0.346574 25 25
648 0.346574 25 25
649 0.346574 25 25
650 0.346574 25 25
651 0.346574 25 25
652 0.346574 25 25
653 0.346574 25 25
654 0.346574 25 25
655 0.346574 25 25
656 0.346574 25 25
657 0.346574 25 25
658 0.346574 25 25
659 0.346574 25 25
660 0.346574 25 25
661 0.346574 25 25
662 0.346574 25 25
663 0.346574 25 25
664 0.346574 25 25
665 0.346574 25 25
666 0.346574 25 25
667 0.346574 25 25
668 0.346574 25 25
669 0.346574 25 25
670 0.346574 25 25
671 0.346574 25 25
672 0.346574 25 25
673 0.346574 25 25
674 0.346574 25 25
675 0.346574 25 25
676 0.346574 25 25
677 0.346574 25 25
678 0.346574 25 25
679 0.346574 25 25
680 0.346574 25 25
681 0.346574 25 25
682 0.346574 25 25
683 0.346574 25 25
684 0.346574 25 25
685 0.346574 25 25
686 0.346574 25 25
687 0.346574 25 25
688 0.346574 25 25
689 0.346574 25 25
690 0.346574 25 25
691 0.346574 25 25
692 0.346574 25 25
693 0.346574 25 25
694 0.346574 25 25
695 0.346574 25 25
696 0.346574 25 25
697 0.346574 25 25
698 0.346574 25 25
699 0.346574 25 25
700 0.346574 25 25
701 0.346574 25 25
702 0.346574 25 25
703 0.346574 25 25
704 0.346574 25 25
705 0.346574 25 25
706 0.346574 25 25
707 0.346574 25 25
708 0.346574 25 25
709 0.346574 25 25
710 0.346574 25 25
711 0.346574 25 25
712 0.346574 25 25
713 0.346574 25 25
714 0.346574 25 25
715 0.346574 25 25
716 0.346574 25 25
717 0.346574 25 25
718 0.346574 25 25
719 0.346574 25 25
720 0.346574 25 25
721 0.346574 25 25
722 0.346574 25 25
723 0.346574 25 25
724 0.346574 25 25
725 0.346574 25 25
726 0.346574 25 25
727 0.346574 25 25
728 0.346574 25 25
729 0.346574 25 25
730 0.346574 25 25
731 0.346574 25 25
732 0.346574 25 25
733 0.346574 25 25
734 0.346574 25 25
735 0.346574 25 25
736 0.346574 25 25
737 0.346574 25 25
738 0.346574 25 25
739 0.346574 25 25
740 0.346574 25 25
741 0.346574 25 25
742 0.346574 25 25
743 0.346574 25 25
744 0.346574 25 25
745 0.346574 25 25
746 0.346574 25 25
747 0.346574 25 25
748 0.346574 25 25
749 0.346574 25 25
750 0.346574 25 25
751 0.346574 25 25
752 0.346574 25 25
753 0.346574 25 25
754 0.346574 25 25
755 0.346574 25 25
756 0.346574 25 25
757 0.346574 25 25
758 0.346574 25 25
759 0.346574 25 25
760 0.346574 25 25
761 0.346574 25 25
762 0.346574 25 25
763 0.346574 25 25
764 0.346574 25 25
765 0.346574 25 25
766 0.346574 25 25
767 0.346574 25 25
768 0.346574 25 25
769 0.346574 25 25
770 0.346574 25 25
771 0.346574 25 25
772 0.346574 25 25
773 0.346574 25 25
774 0.346574 25 25
775 0.346574 25 25
776 0.346574 25 25
777 0.346574 25 25
778 0.346574 25 25
779 0.346574 25 25
780 0.346574 25 25
781 0.346574 25 25
782 0.346574 25 25
783 0.346574 25 25
784 0.346574 25 25
785 0.346574 25 25
786 0.346574 25 25
787 0.346574 25 25
788 0.346574 25 25
789 0.346574 25 25
790 0.346574 25 25
791 0.346574 25 25
792 0.346574 25 25
793 0.346574 25 25
794 0.346574 25 25
795 0.346574 25 25
796 0.346574 25 25
797 0.346574 25 25
798 0.346574 25 25
799 0.346574 25 25
800 0.346574 25 25
801 0.346574 25 25
802 0.346574 25 25
803 0.346574 25 25
804 0.346574 25 25
805 0.346574 25 25
806 0.346574 25 25
807 0.346574 25 25
808 0.346574 25 25
809 0.346574 25 25
810 0.346574 25 25
811 0.346574 25 25
812 0.346574 25 25
813 0.346574 25 25
814 0.346574 25 25
815 0.346574 25 25
816 0.346574 25 25
817 0.346574 25 25
818 0.346574 25 25
819 0.346574 25 25
820 0.346574 25 25
821 0.346574 25 25
822 0.346574 25 25
823 0.346574 25 25
824 0.346574 25 25
825 0.346574 25 25
826 0.346574 25 25
827 0.346574 25 25
828 0.346574 25 25
829 0.346574 25 25
830 0.346574 25 25
831 0.346574 25 25
832 0.346574 25 25
833 0.346574 25 25
834 0.346574 25 25
835 0.346574 25 25
836 0.346574 25 25
837 0.346574 25 25
838 0.346574 25 25
839 0.346574 25 25
840 0.346574 25 25
841 0.346574 25 25
842 0.346574 25 25
843 0.346574 25 25
844 0.346574 25 25
845 0.346574 25 25
846 0.346574 25 25
847 0.346574 25 25
848 0.346574 25 25
849 0.346574 25 25
850 0.346574 25 25
851 0.346574 25 25
852 0.346574 25 25
853 0.346574 25 25
854 0.346574 25 25
855 0.346574 25 25
856 0.346574 25 25
857 0.346574 25 25
858 0.346574 25 25
859 0.346574 25 25
860 0.346574 25 25
861 0.346574 25 25
862 0.346574 25 25
863 0.346574 25 25
864 0.346574 25 25
865 0.346574 25 25
866 0.346574 25 25
867 0.346574 25 25
868 0.346574 25 25
869 0.346574 25 25
870 0.346574 25 25
871 0.346574 25 25
872 0.346574 25 25
873 0.346574 25 25
874 0.346574 25 25
875 0.346574 25 25
876 0.346574 25 25
877 0.346574 25 25
878 0.346574 25 25
879 0.346574 25 25
880 0.346574 25 25
881 0.346574 25 25
882 0.346574 25 25
883 0.346574 25 25
884 0.346574 25 25
885 0.346574 25 25
886 0.346574 25 25
887 0.346574 25 25
888 0.346574 25 25
889 0.346574 25 25
890 0.346574 25 25
891 0.346574 25 25
892 0.346574 25 25
893 0.346574 25 25
894 0.346574 25 25
895 0.346574 25 25
896 0.346574 25 25
897 0.346574 25 25
898 0.346574 25 25
899 0.346574 25 25
900 0.346574 25 25
901 0.346574 25 25
902 0.346574 25 25
903 0.346574 25 25
904 0.346574 25 25
905 0.346574 25 25
906 0.346574 25 25
907 0.346574 25 25
908 0.346574 25 25
909 0.346574 25 25
910 0.346574 25 25
911 0.346574 25 25
912 0.346574 25 25
913 0.346574 25 25
914 0.346574 25 25
915 0.346574 25 25
916 0.346574 25 25
917 0.346574 25 25
918 0.346574 25 25
919 0.346574 25 25
920 0.346574 25 25
921 0.346574 25 25
922 0.346574 25 25
923 0.346574 25 25
924 0.346574 25 25
925 0.346574 25 25
926 0.346574 25 25
927 0.346574 25 25
928 0.346574 25 25
929 0.346574 25 25
930 0.346574 25 25
931 0.346574 25 25
932 0.346574 25 25
933 0.346574 25 25
934 0.346574 25 25
935 0.346574 25 25
936 0.346574 25 25
937 0.346574 25 25
938 0.346574 25 25
939 0.346574 25 25
940 0.346574 25 25
941 0.346574 25 25
942 0.346574 25 25
943 0.346574 25 25
944 0.346574 25 25
945 0.346574 25 25
946 0.346574 25 25
947 0.346574 25 25
948 0.346574 25 25
949 0.346574 25 25
950 0.346574 25 25
951 0.346574 25 25
952 0.346574 25 25
953 0.346574 25 25
954 0.346574 25 25
955 0.346574 25 25
956 0.346574 25 25
957 0.346574 25 25
958 0.346574 25 25
959 0.346574 25 25
960 0.346574 25 25
961 0.346574 25 25
962 0.346574 25 25
963 0.346574 25 25
964 0.346574 25 25
965 0.346574 25 25
966 0.346574 25 25
967 0.346574 25 25
968 0.346574 25 25
969 0.346574 25 25
970 0.346574 25 25
971 0.346574 25 25
972 0.346574 25 25
973 0.346574 25 25
974 0.346574 25 25
975 0.346574 25 25
976 0.346574 25 25
977 0.346574 25 25
978 0.346574 25 25
979 0.346574 25 25
980 0.346574 25 25
981 0.346574 25 25
982 0.346574 25 25
983 0.346574 25 25
984 0.346574 25 25
985 0.346574 25 25
986 0.346574 25 25
987 0.346574 25 25
988 0.346574 25 25
989 0.346574 25 25
990 0.346574 25 25
991 0.346574 25 25
992 0.346574 25 25
993 0.346574 25 25
994 0.346574 25 25
995 0.346574 25 25
996 0.346574 25 25
997 0.346574 25 25
998 0.346574 25 25
999 0.346574 25 25
1000 0.346574 25 25

Confusion Matrix[ExpectedClass][ObtainedClass]
1893835954	32717	
1893838224	34451	
